item,unit
"Balance, Toploading, Electronic",pc
"Balance, Triple Beam, with tare, 2610-gram",pc
Calorimeter,pc
Centrifuge,pc
Digital pocket thermometer,pc
Electrical Conductivity (Conductivity of Solutions) Apparatus,pc
"Filter Paper, crepe, 580mm x 580 mm sheet, Grade 0905",sheet
"Gloves, Hand, super nitrile",pair
"Graduated Cylinder, borosilicate, 10 mL",pc
"Graduated Cylinder, borosilicate, 100 mL",pc
"Graduated pipette with rubber pipettor, borosilicate, 10 mL",pc
Hydrometer for heavy liquids,pc
Hydrometer for light liquids,pc
Laboratory Hot Plate with magnetic stirrer,pc
"pH meter, hand-held, digital",pc
"Safety Goggles, polycarbonate",pair
"Thermometer, Laboratory type, Alcohol, -20⁰C to 110⁰C",pc
Universal pH indicator,pc
Water Quality Meter/Tester 5 in 1 (TDS/pH/EC/ salinity/ temperature),pc
"Anemometer with Wind Vane, Cup type",pc
Barometer-Thermometer-Humidity (3-in-1 Analog Instrument),pc
"Compass, Magnetic",pc
Dissecting Set with pan,set
"Gloves, Surgical",pair
"Hand Lens, 10x magnification",pc
"Hand Lens, 5x magnification",pc
"Microscope, Digital",pc
"Pipette, Beral, 1 mL",pc
Protein Synthesis Demonstration Set,set
Rain Gauge,pc
Reaction Plates with 6 Wells,pc
Sedimentator Tube,pc
"Soil pH, Moisture, Sunlight Meter",pc
Soil/Test Sieve,pc
"Tong, Beaker",pc
"Wash bottle, plastic, 250 mL",pc
"Globe, Celestial",pc
"Globe, Terrestrial",pc
"Model, Tectonics Demonstrator",kit
"Model, Volcano, cross section",pc
"Rock Samples, 24 pcs/set, (minerals of 3 rock types)",set
"Telescope, Astronomical (Reflecting)",pc
